timestamp,equity
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2024-09-10T02:55:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-15T02:55:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,10000
2025-09-26T10:25:00+00:00,9999.59992
2025-09-26T10:25:00+00:00,9999.59992
2025-09-26T10:25:00+00:00,9999.59992
2025-09-26T10:25:00+00:00,9999.59992
2025-09-26T10:25:00+00:00,9999.59992
2025-09-26T10:25:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
2025-09-26T10:30:00+00:00,9999.59992
